,Periods,Total number of passengers,Total passengers arriving,Total passengers departing,TG,TN,TX,SQ,DR,RH,RHX
0,2000-07,4121196,1929467,2191729,15.27096774193549,11.86774193548387,18.67419354838709,4.248387096774194,1.577419354838709,2.700000000000001,1.470967741935484
1,2000-08,4096727,2150204,1946523,17.37096774193548,12.3,21.81612903225806,7.354838709677419,0.6129032258064516,1.629032258064516,0.9096774193548388
2,2001-07,4278757,2011002,2267755,18.41612903225806,13.81612903225807,22.91935483870968,7.167741935483873,0.8129032258064517,1.312903225806451,0.6677419354838708
3,2001-08,4246834,2235051,2011783,18.51935483870968,14.15483870967742,22.92903225806452,5.667741935483871,1.767741935483871,4.86451612903226,2.409677419354838
4,2002-07,4289281,2034750,2254531,17.25806451612903,13.30645161290323,21.32258064516129,5.612903225806451,1.825806451612904,3.070967741935484,1.690322580645161
5,2002-08,4276395,2238757,2037638,18.75483870967741,14.48387096774193,22.70967741935484,5.080645161290323,1.190322580645161,3.338709677419355,1.274193548387097
6,2003-07,4244484,2010027,2234457,18.68064516129032,13.41935483870968,23.42903225806453,7.754838709677419,1.035483870967742,1.380645161290322,0.6516129032258065
7,2003-08,4194993,2221070,1973923,19.23870967741936,14.27419354838709,24.28064516129032,7.174193548387094,0.3645161290322581,0.4935483870967742,0.2870967741935484
8,2004-07,4565684,2137750,2427934,17.10322580645161,12.84193548387096,21.31612903225807,6.85483870967742,1.335483870967742,3.07741935483871,1.451612903225806
9,2004-08,4483625,2350963,2132662,19.0741935483871,15.11935483870968,23.46129032258065,5.974193548387098,2.090322580645161,6.583870967741937,3.045161290322581
10,2005-07,4795477,2243374,2552103,17.68387096774194,14.05161290322581,21.41612903225806,5.119354838709677,1.564516129032258,5.032258064516129,1.935483870967742
11,2005-08,4695502,2459777,2235725,16.44193548387097,12.20967741935484,20.44516129032258,6.674193548387098,1.3,3.54516129032258,1.529032258064516
12,2006-07,5021544,2346390,2675154,22.17419354838709,16.61612903225807,27.45806451612903,10.45483870967742,0.3483870967741934,0.7838709677419354,0.5580645161290323
13,2006-08,4877589,2561406,2316183,16.67096774193548,12.8741935483871,20.84193548387097,4.377419354838709,2.616129032258064,8.564516129032258,3.412903225806451
14,2007-07,5172312,2424836,2747476,17.05483870967742,13.26774193548387,20.73870967741935,6.732258064516129,2.270967741935484,6.235483870967744,3.480645161290322
15,2007-08,5121598,2703161,2418437,17.40645161290323,13.09677419354839,21.7516129032258,6.68709677419355,0.5806451612903226,1.038709677419355,0.6258064516129032
16,2008-07,5175950,2474763,2701187,18.15483870967742,13.97096774193548,22.34838709677419,6.293548387096774,2.351612903225807,4.554838709677418,1.751612903225806
17,2008-08,5025767,2655629,2370138,17.61290322580645,14.0483870967742,21.29032258064516,5.409677419354838,1.361290322580645,3.00967741935484,1.758064516129032
18,2009-07,4851476,2275515,2575961,18.21935483870968,13.97096774193548,22.70645161290322,8.083870967741936,1.461290322580645,2.787096774193549,1.403225806451613
19,2009-08,4811406,2553928,2257478,18.86774193548387,13.63225806451613,23.79677419354838,7.416129032258063,0.6,1.006451612903225,0.5258064516129032
20,2010-07,5119203,2411334,2707869,19.50967741935484,14.49677419354839,24.31935483870969,8.316129032258065,0.8129032258064516,2.23225806451613,1.212903225806451
21,2010-08,5058056,2688839,2369217,17.01290322580645,13.23870967741936,20.76129032258065,5.503225806451612,2.374193548387097,6.361290322580646,2.812903225806452
22,2011-07,5627276,2668554,2958722,15.9,11.95806451612903,19.70645161290323,5.619354838709678,2.922580645161291,5.029032258064517,1.187096774193548
23,2011-08,5540569,2904186,2636383,16.76774193548387,12.67096774193548,20.75161290322581,4.851612903225807,1.896774193548387,3.990322580645161,1.916129032258064
24,2012-07,5759003,2713559,3045444,17.28064516129032,13.16774193548387,21.34516129032258,6.825806451612904,2.17741935483871,5.087096774193547,2.016129032258065
25,2012-08,5671424,2971537,2699887,18.48709677419354,14.20322580645161,23.1258064516129,7.22258064516129,1.106451612903226,3.870967741935483,1.548387096774194
26,2013-07,5934128,2804005,3130123,19.17096774193548,14.55161290322581,23.6,8.429032258064517,0.4645161290322581,0.9870967741935486,0.4709677419354838
27,2013-08,5942981,3106009,2836972,18.4741935483871,13.38709677419355,23.33870967741935,8.016129032258064,0.4612903225806451,0.5806451612903226,0.3935483870967742
28,2014-07,6070119,2841054,3229065,19.63225806451613,15.13225806451613,24.34193548387097,7.361290322580645,1.574193548387097,4.051612903225808,1.445161290322581
29,2014-08,6261369,3272798,2988571,16.35483870967742,12.34838709677419,20.47741935483871,6.293548387096774,2.280645161290322,5.025806451612904,2.109677419354838
30,2015-07,6568499,3093605,3474894,18.25483870967741,13.5258064516129,22.7258064516129,7.474193548387097,1.670967741935484,3.07741935483871,1.12258064516129
31,2015-08,6606203,3459913,3146290,18.52258064516129,14.23548387096774,23.11935483870968,6.751612903225807,2.393548387096774,4.422580645161289,1.883870967741936
32,2016-07,7074939,3325563,3749376,18.34193548387097,13.9741935483871,22.5,7.174193548387097,0.5903225806451613,1.151612903225806,0.7580645161290321
33,2016-08,7115921,3718176,3397745,18.15161290322581,13.59032258064516,22.27741935483872,7.754838709677419,1.635483870967742,4.300000000000001,2.003225806451613
34,2017-07,7532873,3560737,3972136,17.95483870967742,13.35161290322581,22.35806451612904,6.680645161290324,1.703225806451613,3.95483870967742,1.874193548387097
35,2017-08,7608101,3944170,3663931,17.53870967741935,12.9258064516129,21.90967741935484,6.05483870967742,1.525806451612903,3.064516129032258,1.138709677419355
36,2018-07,7691695,3621660,4070035,20.5741935483871,14.50322580645161,26.20645161290322,11.06129032258065,0.1129032258064516,0.1225806451612903,0.0806451612903225
37,2018-08,7786633,4018842,3767791,18.69354838709678,13.72258064516129,23.54516129032258,6.706451612903226,1.261290322580645,2.62258064516129,1.038709677419355
38,2019-07,7730263,3633107,4097156,18.65806451612903,13.85806451612903,23.7258064516129,8.125806451612904,0.896774193548387,1.387096774193548,0.5548387096774194
39,2019-08,7859458,4067875,3791583,18.82258064516129,13.96774193548387,23.51935483870968,7.76774193548387,1.090322580645161,1.8,0.7354838709677418
40,2020-07,1690515,760514,930001,17.00967741935484,12.59677419354839,21.09354838709677,7.090322580645161,2.161290322580645,2.045161290322581,0.6516129032258066
41,2020-08,2242935,1198701,1044234,20.5483870967742,15.7258064516129,25.50967741935484,7.509677419354841,1.180645161290322,2.561290322580645,1.164516129032258
42,2021-07,3515159,1584635,1930524,17.99032258064516,13.80322580645161,22.35161290322581,6.432258064516129,0.6580645161290323,1.958064516129032,1.238709677419355
43,2021-08,4479180,2368993,2110187,17.08064516129032,13.20645161290323,21.09032258064516,5.409677419354841,0.8870967741935484,2.980645161290324,1.880645161290322
